Mã KCB,Tên cơ sở,Tên cơ sở (English),Loại hình cơ sở,Cấp cơ sở,Tỉnh/Thành phố,Quận/Huyện,Xã/Phường
1043,Bệnh viện 198 - Bộ Công An,198 Hospital - Ministry of Public Security,Bệnh viện đa khoa,Bộ ngành khác,Thành phố Hà Nội,Quận Hoàn Kiếm,
26009,Bệnh viện quân y 109,109 Military Hospital,Bệnh viện đa khoa,Bộ ngành khác,Tỉnh Vĩnh Phúc,Thành phố Vĩnh Yên,Phường Đồng Tâm
36038,Bệnh viện Công an tỉnh Nam Định,Nam Dinh Police General Hospital,Bệnh viện đa khoa,Bộ ngành khác,Tỉnh Nam Định,Thành phố Nam Định,Phường Cửa Bắc
15109,Bệnh viện Giao thông vận tải Yên Bái,Yen Bai Transportation Sector Hospital (Transport Hospital II),Bệnh viện đa khoa,Bộ ngành khác,Tỉnh Yên Bái,Thành phố Yên Bái,Phường Hồng Hà
19049,Bệnh viện Chỉnh hình và PHCN Thái Nguyên,Bệnh viện Chỉnh Hình - PHCN Thái Nguyên,Bệnh viện chuyên khoa,Bộ ngành khác,Tỉnh Thái Nguyên,Thành phố Thái Nguyên,Phường Tân Thịnh
25327,Bệnh viện Công an tỉnh Phú Thọ,Phu Tho Provincial Police Hospital,Bệnh viện đa khoa,Bộ ngành khác,Tỉnh Phú Thọ,Thành phố Việt Trì,Phường Tiên Cát
11156,Bệnh viện Công an tỉnh Điện Biên (Bệnh viện 7/5),Hospital 7-5 (Dien Bien Police),Bệnh viện đa khoa,Bộ ngành khác,Tỉnh Điện Biên,Huyện Điện Biên,Xã Thanh Luông
48002,Bệnh viện C Đà Nẵng,Da Nang C Hospital,Bệnh viện đa khoa,Bộ ngành khác,Thành phố Đà Nẵng,Quận Hải Châu,Phường Thạch Thang
48065,Bệnh viện 199 - Bộ Công An,199 Hospital (Ministry of Public Security),Bệnh viện đa khoa,Bộ ngành khác,Thành phố Đà Nẵng,Quận Sơn Trà,Phường An Hải Đông
54116,Bệnh viện Công an tỉnh Phú Yên,Phu Yen Provincial Police Hospital,Bệnh viện đa khoa,Bộ ngành khác,Tỉnh Phú Yên,Thành phố Tuy Hoà,Phường 6
79011,"Bệnh viện 30-4, Bộ Công an",30 April Hospital (Ministry of Public Security in HCMC),Bệnh viện đa khoa,Bộ ngành khác,Thành phố Hồ Chí Minh,Quận 5,Phường 09
