Mã KCB,Tên cơ sở,Tên cơ sở (English),Loại hình cơ sở,Cấp cơ sở,Tỉnh/Thành phố,Quận/Huyện,Xã/Phường
24003,Bệnh viện đa khoa huyện Lục Nam,Luc Nam District Health Center (CS1-hospital),Bệnh viện đa khoa,Tuyến huyện,Tỉnh Bắc Giang,Huyện Lục Nam,Thị trấn Đồi Ngô
24010,Bệnh viện đa khoa huyện Yên Dũng,Yen Dung District Health Center (CS1-hospital),Bệnh viện đa khoa,Tuyến huyện,Tỉnh Bắc Giang,Huyện Yên Dũng,Thị trấn Nham Biền
02005,Bệnh viện đa khoa huyện Vị Xuyên,Vi Xuyen District General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Hà Giang,Huyện Vị Xuyên,Thị trấn Vị Xuyên
38020,BVĐK thị xã Bỉm Sơn,Bim Som Town General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Thanh Hóa,Thị xã Bỉm Sơn,Phường Lam Sơn
38110,BVĐK huyện Thạch Thành,Thach Thanh District General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Thanh Hóa,Huyện Thạch Thành,Thị trấn Kim Tân
38060,BVĐK huyện Thường Xuân,Thuong Xuan District General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Thanh Hóa,Huyện Thường Xuân,Thị trấn Thường Xuân
38070,BVĐK huyện Như Xuân,Nhu Xuan District General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Thanh Hóa,Huyện Như Xuân,Thị trấn Yên Cát
38130,BVĐK huyện Vĩnh Lộc,Vinh Loc District General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Thanh Hóa,Huyện Vĩnh Lộc,Thị trấn Vĩnh Lộc
38140,BVĐK huyện Yên Định,Yen Dinh District General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Thanh Hóa,Huyện Yên Định,Xã Định Long
38120,BVĐK huyện Thọ Xuân,Tho Xuan District General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Thanh Hóa,Huyện Thọ Xuân,Thị trấn Thọ Xuân
38220,BVĐK huyện Quảng Xương,Quang Xuong District General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Thanh Hóa,Huyện Quảng Xương,Thị trấn Tân Phong
38160,BVĐK huyện Nông Cống,Nong Cong District General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Thanh Hóa,Huyện Nông Cống,Thị trấn Nông Cống
38720,BVĐK Tâm Đức Cầu Quan,Tam Duc Cau Quan General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Thanh Hóa,Huyện Nông Cống,Xã Trung Chính
02012,Bệnh viện đa khoa huyện Mèo vạc,Meo Vac District General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Hà Giang,Huyện Mèo Vạc,Thị trấn Mèo Vạc
36028,TTYT huyện Nghĩa Hưng (cơ sở Nghĩa Trung),Trung tâm y tế huyện Nghĩa Hưng (cơ sở Nghĩa Trung),Trung tâm y tế đa chức năng,Tuyến huyện,Tỉnh Nam Định,Huyện Nghĩa Hưng,Xã Nghĩa Trung
25002,Bệnh viện đa khoa thị xã Phú Thọ,Phu Tho Town General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Phú Thọ,Thị xã Phú Thọ,Phường Âu Cơ
42003,Trung tâm Y tế huyện Hương Sơn,Huong Son District Health Center,Trung tâm y tế đa chức năng,Tuyến huyện,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Thị trấn Phố Châu
42002,Trung tâm Y tế Thị xã Hồng Lĩnh,Hong Linh Town General Hospital,Trung tâm y tế đa chức năng,Tuyến huyện,Tỉnh Hà Tĩnh,Thị xã Hồng Lĩnh,Phường Bắc Hồng
42006,Trung tâm Y tế huyện Can Lộc,Can Loc District General Hospital,Trung tâm y tế đa chức năng,Tuyến huyện,Tỉnh Hà Tĩnh,Huyện Can Lộc,Thị trấn Nghèn
42009,Bệnh viện đa khoa huyện Cẩm Xuyên,Cam Xuyen District General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Thị trấn Cẩm Xuyên
42010,Bệnh viện đa khoa thị xã Kỳ Anh,Ky Anh Town General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Hà Tĩnh,Thị xã Kỳ Anh,Phường Hưng Trí
42011,Trung tâm Y tế huyện Vũ Quang,Vu Quang District General Hospital,Trung tâm y tế đa chức năng,Tuyến huyện,Tỉnh Hà Tĩnh,Huyện Vũ Quang,Thị trấn Vũ Quang
42007,Bệnh viện đa khoa huyện Hương Khê,Huong Khe District General Hospital,Bệnh viện đa khoa,Tuyến huyện,Tỉnh Hà Tĩnh,Huyện Hương Khê,Thị trấn Hương Khê
42008,Trung tâm Y tế huyện Thạch Hà,Thach Ha District General Hospital,Trung tâm y tế đa chức năng,Tuyến huyện,Tỉnh Hà Tĩnh,Huyện Thạch Hà,Xã Thạch Long
42005,Trung tâm Y tế huyện Nghi Xuân,Nghi Xuan Distrit General Hospital,Trung tâm y tế đa chức năng,Tuyến huyện,Tỉnh Hà Tĩnh,Huyện Nghi Xuân,Thị trấn Tiên Điền
54005,Trung Tâm Y tế thị xã Sông Cầu,Song Cau Town Health Center,Trung tâm y tế,Tuyến huyện,Tỉnh Phú Yên,Thị xã Sông Cầu,Phường Xuân Yên
64006,TTYT  Huyện Chư Prông,Chu Prong District Health Center,trung tâm y tế huyện,Tuyến huyện,Tỉnh Gia Lai,Huyện Chư Prông,Thị trấn Chư Prông
