Mã KCB,Tên cơ sở,Tên cơ sở (English),Loại hình cơ sở,Cấp cơ sở,Tỉnh/Thành phố,Quận/Huyện,Xã/Phường
     19010,Bệnh viện Đa khoa trung ương Thái Nguyên,Thai Nguyen Central General Hospital,Bệnh viện đa khoa,Tuyến trung ương,Tỉnh Thái Nguyên,Thành phố Thái Nguyên,Phường Phan Đình Phùng
     44005,Bệnh viện Hữu Nghị Việt Nam - Cu Ba Đồng Hới,Dong Hoi Vietnam-Cuba Friendship Hospital,Bệnh viện đa khoa,Tuyến trung ương,Tỉnh Quảng Bình,Thành Phố Đồng Hới,Phường Nam Lý
     52010,Bệnh viện Phong Da liễu Quy Hòa,Quy Hoa National Leprosy and Dermatology Hospital,Bệnh viện chuyên khoa,Tuyến trung ương,Tỉnh Bình Định,Thành phố Quy Nhơn,Phường Ghềnh Ráng
     46002,Bệnh viện Trường Đại học Y Dược Huế,Hue University of Medicine and Pharmacy Hospital,Bệnh viện đa khoa,Tuyến trung ương,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Vĩnh Ninh
     79025,Bệnh viện Thống Nhất,Thong Nhat Hospital,Bệnh viện đa khoa,Tuyến trung ương,Thành phố Hồ Chí Minh,Quận Tân Bình,Phường 07
     40042,Bệnh viện Phong - Da liễu Trung ương Quỳnh Lập,Quynh Lap National Leprosy Dermatology Hospital (1),Bệnh viện chuyên khoa,Tuyến trung ương,Tỉnh Nghệ An,Thị xã Hoàng Mai,Phường Quỳnh Thiện
     01927,Viện Y học phóng xạ và U bướu Quân Đội (Cục Quân Y),Army Institute of Medical Radiology and Oncology,Bệnh viện chuyên khoa,Tuyến trung ương,Thành phố Hà Nội,Quận Hoàng Mai,Phường Định Công
     75253,Bệnh viện Tâm thần Trung ương 2,Central Psychiatric Hospital Number 2,Bệnh viện chuyên khoa,Tuyến trung ương,Tỉnh Đồng Nai,Thành phố Biên Hòa,Phường Tân Phong
     46001,Bệnh viện đa khoa Trung ương Huế cơ sở 1,Bệnh viện đa khoa Trung ương Huế cơ sở 1,Bệnh viện đa khoa,Tuyến trung ương,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Vĩnh Ninh
     46204,Bệnh viện đa khoa Trung ương Huế cơ sở 2,Hue Central General Hospital (CS2-former provincial hospital),Bệnh viện đa khoa,Tuyến trung ương,Tỉnh Thừa Thiên Huế,Huyện Phong Điền,Xã Phong An
     01901.1,Bệnh viện Hữu Nghị Việt Đức,Bệnh viện Hữu Nghị Việt Đức,Bệnh viện chuyên khoa,Tuyến trung ương,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bông
     01917,Bệnh viện Bỏng quốc gia Lê Hữu Trác,National Burn Institute (Ministry of Defense),Bệnh viện chuyên khoa,Tuyến trung ương,Thành phố Hà Nội,Quận Hà Đông,Phường Phúc La
     01929_4,Trung tâm HSTC COVID-19  BV Bạch Mai Cơ sở 2,Bach Mai Hospital (CS2-Phu Ly),Bệnh viện chuyên khoa,Tuyến trung ương,Tỉnh Hà Nam,Thành phố Phủ Lý,Xã Liêm Tuyền
