Mã KCB,Tên cơ sở,Tên cơ sở (English),Loại hình cơ sở,Cấp cơ sở,Tỉnh/Thành phố,Quận/Huyện,Xã/Phường
     01124,Công ty kinh doanh nước sạch Hà Nội (YTCQ),Công ty kinh doanh nước sạch Hà Nội (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Ba Đình,
     01144,Phòng y tế KS Intercontinental,Phòng y tế KS Intercontinental,Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Tây Hồ,
     01140,Công ty TNHHNN1TV chiếu sáng  đô thị (YTCQ),Công ty TNHHNN1TV chiếu sáng  đô thị (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hoàn Kiếm,
     01141,Bưu điện Thành phố Hà Nội (YTCQ),Bưu điện Thành phố Hà Nội (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hoàn Kiếm,
     01113,Tổng Công ty Điện lực thành phố Hà Nội (YTCQ),Tổng Công ty Điện lực thành phố Hà Nội (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hoàn Kiếm,
     01121,Viễn thông Hà Nội (YTCQ),Viễn thông Hà Nội (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hoàn Kiếm,
     01106,Công ty TNHHNN 1TV Thoát nước Hà Nội (YTCQ),Công ty TNHHNN 1TV Thoát nước Hà Nội (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,
     01108,Đại học Kinh tế quốc dân (YTCQ),Đại học Kinh tế quốc dân (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,
     01114,Đại học Xây dựng (YTCQ),Đại học Xây dựng (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,
     01096,Công ty CP Công nghệ y học Hồng Đức (Phòng khám đa khoa Việt Hàn),Công ty CP Công nghệ y học Hồng Đức (Phòng khám đa khoa Việt Hàn),Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,
     01102,VP Bộ Giáo dục và đào tạo (YTCQ),VP Bộ Giáo dục và đào tạo (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,
     01186,Công ty LD Sakura Hà Nội Plaza,Công ty LD Sakura Hà Nội Plaza,Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,
     01110,Đại học Y Hà Nội (YTCQ),Đại học Y Hà Nội (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Đống Đa,
     01147,Học viện hành chính- HVCTHCQGHCM (YTCQ),Học viện hành chính- HVCTHCQGHCM (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Đống Đa,
     01149,Công ty cổ phần xây lắp điện 1 (YTCQ),Công ty cổ phần xây lắp điện 1 (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Đống Đa,
     01131,Văn phòng Đài truyền hình Việt Nam (YTCQ),Văn phòng Đài truyền hình Việt Nam (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Đống Đa,
     01173,Đại học Luật Hà Nội (YTCQ),Đại học Luật Hà Nội (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Đống Đa,
     01333,Học viện Chính trị Hành chính khu vực I (YTCQ),Học viện Chính trị Hành chính khu vực I (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Thanh Xuân,
     01145,TYT Công ty CPcao su Sao vàng,TYT Công ty CPcao su Sao vàng,Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Thanh Xuân,
     01143,Trung tâm y tế Học viện chính trị hành chính QG HCM (YTCQ),Trung tâm y tế Học viện chính trị hành chính QG HCM (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Cầu Giấy,
     01050,Công ty TNHH 1TV Thuốc lá Thăng Long (YTCQ),Công ty TNHH 1TV Thuốc lá Thăng Long (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Thanh Xuân,
     01119,Công ty cổ phần dụng cụ cơ khí xuất khẩu (YTCQ),Công ty cổ phần dụng cụ cơ khí xuất khẩu (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Huyện Mê Linh,
     01036,Trạm y tế Cơ quan Công ty cổ phần LILAMA 3 (YTCQ),Trạm y tế Cơ quan Công ty cổ phần LILAMA 3 (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Huyện Mê Linh,
     01038,Phòng khám đa khoa Quang Minh,Phòng khám đa khoa Quang Minh,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Huyện Mê Linh,
     26055,Bệnh viện Sản Nhi tỉnh Vĩnh Phúc,Vinh Phuc Obstetric and Pediatric Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Vĩnh Phúc,Huyện Yên Lạc,
     ,Khu Thu dung F0 Tầng 1 - huyện Quỳnh Phụ,Khu Thu dung F0 Tầng 1 - huyện Quỳnh Phụ,Bệnh viện dã chiến,Tuyến tỉnh,Tỉnh Thái Bình,Huyện Quỳnh Phụ,
     77006,TRUNG TÂM Y TẾ HUYỆN XUYÊN MỘC,Xuyen Moc District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,
     77007,Trung tâm y tế thị xã Phú Mỹ ,Tan Thanh District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,
     80010,TTYT  Huyện Châu Thành,Chau Thanh District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Long An,Huyện Châu Thành,
     84003,BV Dã chiến số 3 - TTYT  Huyện Châu Thành,Chau Thanh District Health Center ,Bệnh viện dã chiến,Tuyến tỉnh,Tỉnh Trà Vinh,Huyện Châu Thành,
     84008,Trung tâm y tế thi xã Duyên Hải (bv),Duyen Hai Town Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Trà Vinh,Thị xã Duyên Hải,
     95007,TTYT  Huyện Đông Hải,Dong Hai District Health Center (CS1-Hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Bạc Liêu,Huyện Đông Hải,
     01068,Bệnh viện YHCT Nam á,Bệnh viện YHCT Nam á,Bệnh viện đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Ba Đình,Phường Nguyễn Trung Trực
     01137,Văn phòng Trung ương Đảng (YTCQ),Văn phòng Trung ương Đảng (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Ba Đình,Phường Quán Thánh
     01127,Công ty TNHHNN 1TV Môi trường đô thị (YTCQ),Công ty TNHHNN 1TV Môi trường đô thị (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã
     01044,Trung tâm y tế MT lao động công thương,Trung tâm y tế MT lao động công thương,Trung tâm y tế,Tuyến tỉnh,Thành phố Hà Nội,Quận Ba Đình,Phường Liễu Giai
     01109,Công ty TNHH S.A.S-CTAMAD (KS Melia) (YTCQ),Công ty TNHH S.A.S-CTAMAD (KS Melia) (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Trần Hưng Đạo
     01058,Phòng khám 107 Trần Hưng Đạo,Phòng khám 107 Trần Hưng Đạo,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Trần Hưng Đạo
