Ngày,Tỉnh/Thành phố,Thời tiết,Mô tả,Nhiệt độ (°C),Nhiệt độ cảm nhận (°C),Nhiệt độ thấp nhất(°C),Nhiệt độ cao nhất(°C),Độ ẩm (%)
2023-12-25,Hà Nội,Clear,bầu trời quang đãng,15.98,14.99,11.33,20.72,52
2023-12-25,Hồ Chí Minh,Rain,mưa nhẹ,27.95,31.11,22.4,31.88,74
2023-12-25,Đà Nẵng,Clouds,mây đen u ám,19.22,19.29,21.56,22.54,80
2023-12-25,Hải Phòng,Clear,bầu trời quang đãng,14.97,13.75,11.4,20.51,47
2023-12-25,Hòa Bình,Clear,bầu trời quang đãng,10.74,9.46,8.74,18.26,61
2023-12-25,Sơn La,Clear,bầu trời quang đãng,8.66,7.97,5.39,18.33,76
2023-12-25,Lai Châu,Clear,bầu trời quang đãng,10.93,10.3,9.91,22.36,85
2023-12-25,Lào Cai,Clear,bầu trời quang đãng,12.78,12.1,10.71,21.11,76
2023-12-25,Yên Bái,Clear,bầu trời quang đãng,13.91,12.84,14.19,20.69,57
2023-12-25,Tuyên Quang,Clear,bầu trời quang đãng,12.27,11.17,9.11,21.73,62
2023-12-25,Lạng Sơn,Clear,bầu trời quang đãng,10.53,8.92,7.09,18.34,49
2023-12-25,Bắc Kạn,Clear,bầu trời quang đãng,9.44,9.44,10.68,18.13,56
2023-12-25,Thái Nguyên,Clear,bầu trời quang đãng,15.82,14.71,13.62,21.4,48
2023-12-25,Cao Bằng,Clear,bầu trời quang đãng,9.43,9.43,10.49,19.52,51
2023-12-25,Lâm Đồng,Clouds,mây rải rác,16.12,16.22,17.65,23.59,93
2023-12-25,Đắk Lắk,Clouds,mây cụm,17.04,17.05,16.43,22.11,86
2023-12-25,Đắk Nông,Clouds,mây đen u ám,14.13,14,13.42,17.93,92
2023-12-25,Khánh Hòa,Clouds,mây đen u ám,23.88,24.7,21.55,22.7,91
2023-12-25,Phú Yên,Clouds,mây đen u ám,17.14,17.23,16.96,18.63,89
2023-12-25,Bình Định,Clouds,mây cụm,18.8,18.88,18.47,21.59,82
2023-12-25,Gia Lai,Clouds,mây rải rác,16.32,16.1,20.29,23.14,80
2023-12-25,Kon Tum,Clouds,mây thưa,12.82,12.59,12.82,21.59,93
2023-12-25,Quảng Nam,Clouds,mây đen u ám,17.89,18.08,16.71,22.35,90
2023-12-25,Quảng Ngãi,Clouds,mây đen u ám,17.7,17.82,18.27,19.92,88
2023-12-25,Quảng Bình,Clouds,mây đen u ám,8.74,7.99,10.45,12.08,77
2023-12-25,Quảng Trị,Clouds,mây đen u ám,16.84,16.93,18.23,19.58,90
2023-12-25,Thừa Thiên Huế,Clouds,mây cụm,16.94,17.14,19.35,22.3,94
2023-12-25,Quảng Ninh,Clear,bầu trời quang đãng,11.47,10.29,8.86,19.96,62
2023-12-25,Hải Dương,Clear,bầu trời quang đãng,15.01,13.92,10.86,21.22,52
2023-12-25,Hưng Yên,Clear,bầu trời quang đãng,15.2,14.19,10.86,21.68,54
2023-12-25,Bắc Ninh,Clear,bầu trời quang đãng,16.06,15.08,10.56,20.77,52
2023-12-25,Nam Định,Clear,bầu trời quang đãng,17.18,16.52,18.15,21.05,60
2023-12-25,Thái Bình,Clear,bầu trời quang đãng,15.01,14.05,16.6,21.83,57
2023-12-25,Ninh Bình,Clear,bầu trời quang đãng,15.73,14.9,16.81,21.62,59
2023-12-25,Vĩnh Phúc,Clear,bầu trời quang đãng,15.94,14.84,15.61,20.86,48
2023-12-25,Phú Thọ,Clear,bầu trời quang đãng,12.25,10.71,12.77,19.31,45
2023-12-25,Bắc Giang,Clear,bầu trời quang đãng,13,11.63,14.47,22.63,49
2023-12-25,Bắc Ninh,Clear,bầu trời quang đãng,16.06,15.08,10.56,20.77,52
2023-12-25,Hà Nam,Clear,bầu trời quang đãng,15.39,14.47,16.21,21.79,57
2023-12-25,Hà Tĩnh,Clouds,mây cụm,13.94,13.27,11.27,16.92,72
2023-12-25,Nghệ An,Clear,bầu trời quang đãng,11.34,10.28,9.13,19.69,67
2023-12-25,Quảng Ninh,Clear,bầu trời quang đãng,11.47,10.29,8.86,19.96,62
2023-12-25,Quảng Trị,Clouds,mây đen u ám,16.84,16.93,18.23,19.58,90
2023-12-25,Sóc Trăng,Clouds,mây thưa,24.6,25.2,22.76,30.33,80
2023-12-25,Tiền Giang,Clouds,mây thưa,23.63,24.24,23.01,32.63,84
2023-12-25,Trà Vinh,Clouds,mây thưa,24.72,25.34,23.37,30.82,80
2023-12-25,Vĩnh Long,Clouds,mây thưa,26.01,26.01,23.09,31.79,83
2023-12-25,Bến Tre,Clouds,mây thưa,24.13,24.79,23.04,32.02,84
2023-12-25,Cần Thơ,Clouds,mây rải rác,25.99,25.99,23.32,31.57,78
2023-12-25,Đồng Tháp,Clouds,mây cụm,24.7,24.79,21.96,31.33,60
2023-12-25,Hậu Giang,Clouds,mây cụm,26.01,26.01,23.61,31.76,80
2023-12-25,Kiên Giang,Clouds,mây đen u ám,24.58,24.74,23.84,30.85,63
2023-12-25,Long An,Clouds,mây thưa,23.93,24.31,23.53,32.94,74
2023-12-25,An Giang,Clouds,mây đen u ám,24.41,24.42,21.92,30.55,58
2023-12-25,Bà Rịa - Vũng Tàu,Clear,bầu trời quang đãng,24,24.52,23.01,30.47,79
2023-12-25,Bình Dương,Clouds,mây thưa,27.73,29.58,22.34,31.49,65
2023-12-25,Bình Phước,Clouds,mây thưa,21.87,21.86,23.29,30.82,67
2023-12-25,Đồng Nai,Clear,bầu trời quang đãng,21.7,21.88,21.72,31.91,75
2023-12-25,Tây Ninh,Clouds,mây thưa,21.62,21.43,20.36,29.95,61
2023-12-25,Đắk Lắk,Clouds,mây cụm,17.04,17.05,16.43,22.11,86
2023-12-25,Đồng Nai,Clear,bầu trời quang đãng,21.7,21.88,21.72,31.91,75
2023-12-25,Bà Rịa - Vũng Tàu,Clear,bầu trời quang đãng,24,24.52,23.01,30.47,79
2023-12-25,Bình Dương,Clouds,mây thưa,27.73,29.58,22.34,31.49,65
2023-12-26,Hà Nội,Clear,bầu trời quang đãng,21.96,20.99,12.01,21.96,30
2023-12-26,Hồ Chí Minh,Clouds,mây rải rác,32.75,33.6,23.96,29.88,41
2023-12-26,Đà Nẵng,Rain,mưa nhẹ,21.06,21.44,21.6,22.64,85
2023-12-26,Hải Phòng,Clouds,mây thưa,20.98,20.6,18.31,23.79,56
2023-12-26,Hòa Bình,Clear,bầu trời quang đãng,19.77,18.93,8.54,19.91,43
2023-12-26,Sơn La,Clear,bầu trời quang đãng,19.78,18.86,10.81,20.92,40
2023-12-26,Lai Châu,Clear,bầu trời quang đãng,22.06,21.52,8.09,22.23,46
2023-12-26,Lào Cai,Clear,bầu trời quang đãng,22.06,21.39,14.46,23.21,41
2023-12-26,Yên Bái,Clear,bầu trời quang đãng,20.33,19.46,16.71,22.5,40
2023-12-26,Tuyên Quang,Clear,bầu trời quang đãng,22.18,21.32,8.9,22.5,33
2023-12-26,Lạng Sơn,Clear,bầu trời quang đãng,21.05,20.07,7.94,21.21,33
2023-12-26,Bắc Kạn,Clear,bầu trời quang đãng,20.72,19.84,13.46,19.76,38
2023-12-26,Thái Nguyên,Clear,bầu trời quang đãng,21.92,21.08,16.34,23.21,35
2023-12-26,Cao Bằng,Clear,bầu trời quang đãng,19.66,18.62,7.0,19.92,36
2023-12-26,Lâm Đồng,Clouds,mây đen u ám,27.75,28.26,15.3,29.54,51
2023-12-26,Đắk Lắk,Clouds,mây cụm,23.58,23.69,19.55,20.67,65
2023-12-26,Đắk Nông,Clouds,mây rải rác,21.32,21.1,13.93,21.52,61
2023-12-26,Khánh Hòa,Clouds,mây đen u ám,27.21,28.77,18.73,27.79,65
2023-12-26,Phú Yên,Clouds,mây đen u ám,21.87,22.12,16.82,22.26,77
2023-12-26,Bình Định,Clouds,mây rải rác,24.58,25.08,21.83,22.78,76
2023-12-26,Gia Lai,Clouds,mây thưa,24.28,24.23,15.64,25.16,56
2023-12-26,Kon Tum,Clouds,mây rải rác,21.5,21.35,13.0,22.74,63
2023-12-26,Quảng Nam,Clouds,mây đen u ám,20.07,20.56,17.26,20.36,93
2023-12-26,Quảng Ngãi,Clouds,mây đen u ám,21.47,21.87,19.77,21.26,84
2023-12-26,Quảng Bình,Clouds,mây cụm,14.12,13.52,11.13,12.69,74
2023-12-26,Quảng Trị,Clouds,mây đen u ám,17.79,17.9,18.7,20.28,87
