name,longitude,latitude
Thành phố Hà Nội,105.854,21.028
Tỉnh Hà Giang,105.003,22.734
Tỉnh Cao Bằng,106.106,22.743
Tỉnh Bắc Kạn,105.82,22.257
Tỉnh Tuyên Quang,105.258,22.075
Tỉnh Lào Cai,104.183,22.307
Tỉnh Điện Biên,103.217,21.655
Tỉnh Lai Châu,103.18,22.292
Tỉnh Sơn La,104.158,21.228
Tỉnh Yên Bái,104.663,21.827
Tỉnh Hoà Bình,105.376,20.676
Tỉnh Thái Nguyên,105.835,21.65
Tỉnh Lạng Sơn,106.74,21.777
Tỉnh Quảng Ninh,107.201,21.172
Tỉnh Bắc Giang,106.438,21.317
Tỉnh Phú Thọ,105.135,21.301
Tỉnh Vĩnh Phúc,105.576,21.378
Tỉnh Bắc Ninh,106.126,21.096
Tỉnh Hải Dương,106.373,20.893
Thành phố Hải Phòng,106.675,20.859
Tỉnh Hưng Yên,106.07,20.783
Tỉnh Thái Bình,106.388,20.53
Tỉnh Hà Nam,105.993,20.54
Tỉnh Nam Định,106.229,20.269
Tỉnh Ninh Bình,105.928,20.205
Tỉnh Thanh Hóa,105.482,19.978
Tỉnh Nghệ An,105.061,19.198
Tỉnh Hà Tĩnh,105.762,18.35
Tỉnh Quảng Bình,106.4,17.51
Tỉnh Quảng Trị,106.98,16.79
Tỉnh Thừa Thiên Huế,107.54,16.348
Thành phố Đà Nẵng,108.212,16.068
Tỉnh Quảng Nam,108.053,15.576
Tỉnh Quảng Ngãi,108.692,14.995
Tỉnh Bình Định,108.99,14.078
Tỉnh Phú Yên,109.127,13.191
Tỉnh Khánh Hòa,108.995,12.298
Tỉnh Ninh Thuận,108.893,11.697
Tỉnh Bình Thuận,108.183,11.104
Tỉnh Kon Tum,107.932,14.7
Tỉnh Gia Lai,108.2,13.818
Tỉnh Đắk Lắk,108.3,12.829
Tỉnh Đắk Nông,107.73,12.282
Tỉnh Lâm Đồng,108.134,11.661
Tỉnh Bình Phước,106.927,11.754
Tỉnh Tây Ninh,106.163,11.402
Tỉnh Bình Dương,106.703,11.184
Tỉnh Đồng Nai,107.188,11.036
Tỉnh Bà Rịa - Vũng Tàu,107.328,10.574
Thành phố Hồ Chí Minh,106.701,10.776
Tỉnh Long An,106.188,10.698
Tỉnh Tiền Giang,106.362,10.403
Tỉnh Bến Tre,106.481,10.109
Tỉnh Trà Vinh,106.326,9.804
Tỉnh Vĩnh Long,106.013,10.12
Tỉnh Đồng Tháp,105.68,10.59
Tỉnh An Giang,105.231,10.539
Tỉnh Kiên Giang,105.244,9.99
Thành phố Cần Thơ,105.788,10.036
Tỉnh Hậu Giang,105.638,9.799
Tỉnh Sóc Trăng,105.949,9.563
Tỉnh Bạc Liêu,105.51,9.33
Tỉnh Cà Mau,105.087,9.018
