Ngày,Tỉnh/Thành phố,Thời tiết,Mô tả,Nhiệt độ (°C),Nhiệt độ cao nhất (°C),Nhiệt độ thấp nhất (°C),Độ ẩm (%)
07-12-2023,Hà Nội,Clouds,mây đen u ám,25.98,25.98,25.98,37
07-12-2023,Hồ Chí Minh,Clouds,mây cụm,31.94,31.94,31.94,62
07-12-2023,Đà Nẵng,Clouds,mây cụm,23.99,23.99,23.99,83
07-12-2023,Hải Phòng,Clear,bầu trời quang đãng,25.97,25.97,25.97,38
07-12-2023,Hòa Bình,Clouds,mây đen u ám,23.8,23.8,23.8,50
07-12-2023,Sơn La,Clouds,mây đen u ám,23.26,23.26,23.26,50
07-12-2023,Lai Châu,Clouds,mây cụm,24.41,24.41,24.41,49
07-12-2023,Lào Cai,Clouds,mây thưa,25.98,25.98,25.98,48
07-12-2023,Yên Bái,Clouds,mây cụm,25.03,25.03,25.03,47
07-12-2023,Tuyên Quang,Clouds,mây cụm,26.87,26.87,26.87,38
07-12-2023,Lạng Sơn,Clouds,mây cụm,25.29,25.29,25.29,34
07-12-2023,Bắc Kạn,Clouds,mây cụm,25.16,25.16,25.16,39
07-12-2023,Thái Nguyên,Clouds,mây cụm,25.82,25.82,25.82,36
07-12-2023,Cao Bằng,Clouds,mây thưa,24.17,24.17,24.17,36
07-12-2023,Lâm Đồng,Clouds,mây đen u ám,27.19,27.19,27.19,62
07-12-2023,Đắk Lắk,Clouds,mây rải rác,25.11,25.11,25.11,69
07-12-2023,Đắk Nông,Clouds,mây đen u ám,24.22,24.22,24.22,58
07-12-2023,Khánh Hòa,Clouds,mây đen u ám,28.88,28.88,28.88,68
07-12-2023,Phú Yên,Clouds,mây rải rác,23.7,23.7,23.7,78
07-12-2023,Bình Định,Clouds,mây cụm,26.1,26.1,26.1,82
07-12-2023,Gia Lai,Clouds,mây cụm,26.11,26.11,26.11,64
07-12-2023,Kon Tum,Clouds,mây cụm,24.7,24.7,24.7,66
07-12-2023,Quảng Nam,Clouds,mây đen u ám,23.22,23.22,23.22,98
07-12-2023,Quảng Ngãi,Rain,mưa nhẹ,23.93,23.93,23.93,90
07-12-2023,Quảng Bình,Clouds,mây đen u ám,16.96,16.96,16.96,74
07-12-2023,Quảng Trị,Clouds,mây đen u ám,21.86,21.86,21.86,84
07-12-2023,Thừa Thiên Huế,Mist,sương mờ,20.94,20.94,20.94,100
07-12-2023,Quảng Ninh,Clouds,mây cụm,24.11,24.11,24.11,43
07-12-2023,Hải Dương,Clouds,mây đen u ám,26.01,26.01,26.01,33
07-12-2023,Hưng Yên,Clouds,mây đen u ám,27.38,27.38,27.38,34
07-12-2023,Bắc Ninh,Clouds,mây đen u ám,26.06,26.06,26.06,34
07-12-2023,Nam Định,Clouds,mây cụm,24.29,24.29,24.29,49
07-12-2023,Thái Bình,Clouds,mây đen u ám,26.01,26.01,26.01,40
07-12-2023,Ninh Bình,Clouds,mây đen u ám,26.68,26.68,26.68,39
07-12-2023,Vĩnh Phúc,Clouds,mây đen u ám,25.94,25.94,25.94,41
07-12-2023,Phú Thọ,Clouds,mây cụm,24.71,24.71,24.71,46
07-12-2023,Bắc Giang,Clouds,mây đen u ám,26.98,26.98,26.98,34
07-12-2023,Bắc Ninh,Clouds,mây đen u ám,26.06,26.06,26.06,34
07-12-2023,Hà Nam,Clouds,mây đen u ám,27.43,27.43,27.43,35
07-12-2023,Hà Tĩnh,Clouds,mây đen u ám,23.59,23.59,23.59,66
07-12-2023,Nghệ An,Clouds,mây đen u ám,24.53,24.53,24.53,56
07-12-2023,Quảng Ninh,Clouds,mây cụm,24.11,24.11,24.11,43
07-12-2023,Quảng Trị,Clouds,mây đen u ám,21.86,21.86,21.86,84
07-12-2023,Sóc Trăng,Clouds,mây đen u ám,29.17,29.17,29.17,71
07-12-2023,Tiền Giang,Clouds,mây đen u ám,29.79,29.79,29.79,74
07-12-2023,Trà Vinh,Clouds,mây đen u ám,28.5,28.5,28.5,72
07-12-2023,Vĩnh Long,Clouds,mây đen u ám,32.01,32.01,32.01,69
07-12-2023,Bến Tre,Clouds,mây đen u ám,29.07,29.07,29.07,71
07-12-2023,Cần Thơ,Clouds,mây rải rác,31.99,31.99,31.99,66
07-12-2023,Đồng Tháp,Clouds,mây cụm,31.78,31.78,31.78,56
07-12-2023,Hậu Giang,Clouds,mây đen u ám,32.01,32.01,32.01,69
07-12-2023,Kiên Giang,Clouds,mây đen u ám,30.24,30.24,30.24,66
07-12-2023,Long An,Clouds,mây cụm,32.08,32.08,32.08,59
07-12-2023,An Giang,Clouds,mây cụm,31.5,31.5,31.5,58
07-12-2023,Bà Rịa - Vũng Tàu,Clouds,mây cụm,28.64,28.64,28.64,73
07-12-2023,Bình Dương,Clouds,mây đen u ám,31.73,31.73,31.73,61
07-12-2023,Bình Phước,Clouds,mây cụm,33.97,33.97,33.97,49
07-12-2023,Đồng Nai,Clouds,mây cụm,30.02,30.02,30.02,70
07-12-2023,Tây Ninh,Clouds,mây thưa,31.46,31.46,31.46,44
07-12-2023,Đắk Lắk,Clouds,mây rải rác,25.11,25.11,25.11,69
07-12-2023,Đồng Nai,Clouds,mây cụm,30.02,30.02,30.02,70
07-12-2023,Bà Rịa - Vũng Tàu,Clouds,mây cụm,28.64,28.64,28.64,73
07-12-2023,Bình Dương,Clouds,mây đen u ám,31.73,31.73,31.73,61
14-12-2023,Hà Nội,Clear,bầu trời quang đãng,23.98,23.98,23.98,80
14-12-2023,Hồ Chí Minh,Clear,bầu trời quang đãng,29.95,29.95,29.95,66
14-12-2023,Đà Nẵng,Clouds,mây rải rác,25.99,25.99,25.99,89
14-12-2023,Hải Phòng,Clear,bầu trời quang đãng,23.97,23.97,23.97,94
14-12-2023,Hòa Bình,Clear,bầu trời quang đãng,20.43,20.43,20.43,95
14-12-2023,Sơn La,Clear,bầu trời quang đãng,18.48,18.48,18.48,82
14-12-2023,Lai Châu,Clouds,mây đen u ám,20.74,20.74,20.74,84
14-12-2023,Lào Cai,Clouds,mây đen u ám,21.73,21.73,21.73,91
14-12-2023,Yên Bái,Clouds,mây cụm,23.58,23.58,23.58,84
14-12-2023,Tuyên Quang,Clouds,mây đen u ám,23.52,23.52,23.52,82
14-12-2023,Lạng Sơn,Clear,bầu trời quang đãng,20.11,20.11,20.11,93
14-12-2023,Bắc Kạn,Clouds,mây cụm,21.11,21.11,21.11,95
14-12-2023,Thái Nguyên,Clouds,mây thưa,23.82,23.82,23.82,86
14-12-2023,Cao Bằng,Clouds,mây cụm,20.73,20.73,20.73,91
14-12-2023,Lâm Đồng,Clouds,mây thưa,19.12,19.12,19.12,89
14-12-2023,Đắk Lắk,Clouds,mây thưa,20.21,20.21,20.21,96
14-12-2023,Đắk Nông,Clouds,mây cụm,17.13,17.13,17.13,98
14-12-2023,Khánh Hòa,Clouds,mây cụm,26.88,26.88,26.88,97
14-12-2023,Phú Yên,Clouds,mây cụm,20.44,20.44,20.44,97
14-12-2023,Bình Định,Clouds,mây rải rác,22.82,22.82,22.82,96
14-12-2023,Gia Lai,Clouds,mây rải rác,19.47,19.47,19.47,98
14-12-2023,Kon Tum,Clouds,mây cụm,18.03,18.03,18.03,96
14-12-2023,Quảng Nam,Clouds,mây đen u ám,23.76,23.76,23.76,98
14-12-2023,Quảng Ngãi,Clouds,mây đen u ám,22.31,22.31,22.31,96
14-12-2023,Quảng Bình,Clouds,mây đen u ám,16.85,16.85,16.85,97
14-12-2023,Quảng Trị,Clouds,mây cụm,23.04,23.04,23.04,97
14-12-2023,Thừa Thiên Huế,Clouds,mây cụm,25.94,25.94,25.94,94
14-12-2023,Quảng Ninh,Clouds,mây cụm,20.77,20.77,20.77,97
14-12-2023,Hải Dương,Clouds,mây rải rác,24.01,24.01,24.01,85
14-12-2023,Hưng Yên,Clouds,mây thưa,23.7,23.7,23.7,83
14-12-2023,Bắc Ninh,Clear,bầu trời quang đãng,24.06,24.06,24.06,82
14-12-2023,Nam Định,Clouds,mây đen u ám,24.13,24.13,24.13,85
14-12-2023,Thái Bình,Clouds,mây cụm,24.01,24.01,24.01,82
14-12-2023,Ninh Bình,Clouds,mây đen u ám,23.71,23.71,23.71,87
14-12-2023,Vĩnh Phúc,Clear,bầu trời quang đãng,23.94,23.94,23.94,82
14-12-2023,Phú Thọ,Clear,bầu trời quang đãng,21.81,21.81,21.81,84
14-12-2023,Bắc Giang,Clouds,mây thưa,22.53,22.53,22.53,87
14-12-2023,Bắc Ninh,Clear,bầu trời quang đãng,24.06,24.06,24.06,82
14-12-2023,Hà Nam,Clouds,mây rải rác,23.59,23.59,23.59,86
14-12-2023,Hà Tĩnh,Clouds,mây đen u ám,22.62,22.62,22.62,96
14-12-2023,Nghệ An,Clouds,mây cụm,21.13,21.13,21.13,98
14-12-2023,Quảng Ninh,Clouds,mây cụm,20.77,20.77,20.77,97
14-12-2023,Quảng Trị,Clouds,mây cụm,23.04,23.04,23.04,97
14-12-2023,Sóc Trăng,Clouds,mây đen u ám,25.86,25.86,25.86,85
14-12-2023,Tiền Giang,Clouds,mây cụm,25.64,25.64,25.64,83
14-12-2023,Trà Vinh,Clouds,mây đen u ám,26.08,26.08,26.08,85
