city_name,longitude,latitude
Hà Nội,105.854,21.028333
Hồ Chí Minh,106.701,10.77639
Đà Nẵng,108.212,16.068
Hải Phòng,106.675,20.858864
Hòa Bình,105.376,20.676337
Sơn La,104.158,21.227677
Lai Châu,103.18,22.292167
Lào Cai,104.183,22.30693
Yên Bái,104.875,21.69611
Tuyên Quang,105.258,22.07478
Lạng Sơn,106.74,21.77736
Bắc Kạn,105.82,22.25717
Thái Nguyên,105.835,21.64985
Cao Bằng,106.106,22.742694
Lâm Đồng,108.134,11.661496
Đắk Lắk,108.3,12.829227
Đắk Nông,107.73,12.281885
Khánh Hòa,108.995,12.298075
Phú Yên,109.127,13.191263
Bình Định,108.99,14.077938
Gia Lai,108.2,13.817744
Kon Tum,107.932,14.699537
Quảng Nam,108.053,15.57617
Quảng Ngãi,108.692,14.995374
Quảng Bình,106.4,17.509599
Quảng Trị,106.98,16.789781
Thừa Thiên Huế,107.54,16.34808
Quảng Ninh,107.201,21.171805
Hải Dương,106.373,20.893057
Hưng Yên,106.07,20.783391
Bắc Ninh,106.126,21.095582
Nam Định,106.229,20.268648
Thái Bình,106.388,20.529683
Ninh Bình,105.976,20.254542
Vĩnh Phúc,105.576,21.377869
Phú Thọ,105.135,21.300754
Bắc Giang,106.438,21.316962
Bắc Ninh,106.126,21.095582
Hà Nam,105.993,20.539769
Hà Tĩnh,105.762,18.350483
Nghệ An,105.061,19.1976
Quảng Ninh,107.201,21.171805
Quảng Trị,106.98,16.789781
Sóc Trăng,105.949,9.562837
Tiền Giang,106.362,10.403037
Trà Vinh,106.326,9.8038
Vĩnh Long,106.013,10.120304
Bến Tre,106.481,10.109364
Cần Thơ,105.788,10.036422
Đồng Tháp,105.68,10.590424
Hậu Giang,105.638,9.798506
Kiên Giang,105.244,9.990496
Long An,106.188,10.698397
An Giang,105.231,10.539206
Bà Rịa - Vũng Tàu,107.328,10.57388
Bình Dương,106.703,11.183655
Bình Phước,106.927,11.754323
Đồng Nai,107.188,11.035562
Tây Ninh,106.163,11.401937
Đắk Lắk,108.3,12.829227
Đồng Nai,107.188,11.035562
Bà Rịa - Vũng Tàu,107.328,10.57388
Bình Dương,106.703,11.183655
